# average and mode round trip latency in microseconds (10^-6 seconds) when requesting a reply for a message of 4000 bytes
# MessagePassingInterfaceRank	Name	ModeLatencyInMicroseconds	AverageLatencyInMicroseconds	NumberOfExchanges
# AverageForAllRanks: 44.375
# StandardDeviation: 0.984251
0	ip-10-58-149-197	13	45	1000
1	ip-10-58-149-197	24	45	1000
2	ip-10-58-149-197	13	46	1000
3	ip-10-58-149-197	13	45	1000
4	ip-10-58-149-197	16	43	1000
5	ip-10-58-149-197	16	42	1000
6	ip-10-58-149-197	13	44	1000
7	ip-10-58-149-197	21	44	1000
8	ip-10-58-149-197	12	46	1000
9	ip-10-58-149-197	22	43	1000
10	ip-10-58-149-197	19	42	1000
11	ip-10-58-149-197	13	45	1000
12	ip-10-58-149-197	30	43	1000
13	ip-10-58-149-197	12	46	1000
14	ip-10-58-149-197	20	43	1000
15	ip-10-58-149-197	12	44	1000
16	ip-10-58-149-197	13	45	1000
17	ip-10-58-149-197	22	42	1000
18	ip-10-58-149-197	13	45	1000
19	ip-10-58-149-197	18	44	1000
20	ip-10-58-149-197	19	45	1000
21	ip-10-58-149-197	18	44	1000
22	ip-10-58-149-197	19	44	1000
23	ip-10-58-149-197	12	47	1000
24	ip-10-58-149-197	12	46	1000
25	ip-10-58-149-197	12	46	1000
26	ip-10-58-149-197	18	44	1000
27	ip-10-58-149-197	18	43	1000
28	ip-10-58-149-197	13	45	1000
29	ip-10-58-149-197	26	44	1000
30	ip-10-58-149-197	18	43	1000
31	ip-10-58-149-197	13	47	1000
