#Rank	FirstSequence	LastSequence	NumberOfSequences
0	0	1090992	1090993
1	1090993	2181985	1090993
2	2181986	3272978	1090993
3	3272979	4363971	1090993
4	4363972	5454964	1090993
5	5454965	6545957	1090993
6	6545958	7636950	1090993
7	7636951	8727943	1090993
8	8727944	9818936	1090993
9	9818937	10909929	1090993
10	10909930	12000922	1090993
11	12000923	13091915	1090993
12	13091916	14182908	1090993
13	14182909	15273901	1090993
14	15273902	16364894	1090993
15	16364895	17455887	1090993
16	17455888	18546880	1090993
17	18546881	19637873	1090993
18	19637874	20728866	1090993
19	20728867	21819859	1090993
20	21819860	22910852	1090993
21	22910853	24001845	1090993
22	24001846	25092838	1090993
23	25092839	26183831	1090993
24	26183832	27274824	1090993
25	27274825	28365817	1090993
26	28365818	29456810	1090993
27	29456811	30547803	1090993
28	30547804	31638796	1090993
29	31638797	32729789	1090993
30	32729790	33820782	1090993
31	33820783	34911783	1091001
